Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2014-01;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;28406;11591.0;141.0
2014-01;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;80578;32734.0;584.0
2014-01;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14004;8772.0;14.0
2014-01;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;25220;4137.0;109.0
2014-01;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;20335;12571.0;268.0
2014-01;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;36359;13231.0;378.0
2014-01;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;24334;8604.0;369.0
2014-02;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26326;12619.0;476.0
2014-02;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10854;3996.0;87.0
2014-02;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;12190;6953.0;21.0
2014-02;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;51680;16128.0;362.0
2014-02;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;35562;7680.0;237.0
2014-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;17995;5661.0;120.0
2014-02;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;33269;7814.0;257.0
2014-02;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;45545;10058.0;236.0
2014-02;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;18477;10484.0;243.0
2014-03;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;11361;4075.0;94.0
2014-03;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12459;5306.0;14.0
