Período;Região;Entidade;Localização Geográfica;Utentes Inscritos com Hipertensão Arterial, com pressão arterial inferior a 150/90 mmHg nos últimos 6 meses;Hipertensos < 65 Anos, com Pressão Arterial < 150/90
2014-01;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;794;12.69587
2014-01;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;1257;11.49941
2014-01;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;1169;10.71985
2014-01;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;1350;11.96172
2014-01;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;1699;14.02741
2014-01;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;2193;11.96856
2014-01;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;1587;13.71651
2014-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;1431;16.048
2014-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1286;18.85907
2014-01;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;1855;19.12371
2014-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;2839;17.03979
2014-02;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;1493;18.27641
2014-02;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;862;9.09379
2014-02;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;4208;23.11326
2014-02;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;2000;18.12744
2014-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;1286;17.11472
2014-02;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;3728;20.65717
2014-02;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;2463;18.39845
2014-02;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;3790;17.78257
2014-02;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;3663;19.76368
2014-02;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;2441;26.6572
2014-02;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;4018;28.86494
2014-02;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;3279;26.94109
2014-02;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;4420;27.62327
2014-03;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;4311;41.37633
2014-03;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;8744;27.90045
2014-03;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;842;16.25796
2014-03;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;6013;32.60492
2014-03;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;3881;23.32893
2014-03;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;4562;22.47734
2014-03;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;6181;44.26382
2014-03;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;5435;39.06699
2014-03;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;4605;37.61333
2014-04;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;2532;30.26536
2014-04;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;4993;47.38091
2014-04;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;918;25.1438
2014-04;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;7231;39.15633
