Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2016-11-02;ARS Alentejo;8644.0;5041.0;3603.0;2236.0
2016-11-02;ARS Algarve;4351.0;2456.0;1895.0;1017.0
2016-11-03;ARS Algarve;4695.0;2478.0;2217.0;1028.0
2016-11-04;ARS Centro;16470.0;10156.0;6314.0;4334.0
2016-11-05;ARS Lisboa e Vale do Tejo;1953.0;1926.0;27.0;451.0
2016-11-06;ARS Algarve;260.0;231.0;29.0;43.0
2016-11-08;ARS Norte;58407.0;30692.0;27715.0;11255.0
2016-11-09;ARS Centro;23519.0;12838.0;10681.0;5385.0
2016-11-10;ARS Centro;23364.0;12852.0;10512.0;5637.0
2016-11-12;ARS Norte;2478.0;2349.0;129.0;415.0
2016-11-13;ARS Centro;1737.0;1724.0;13.0;459.0
2016-11-13;ARS Lisboa e Vale do Tejo;1366.0;1366.0;0.0;276.0
2016-11-13;ARS Alentejo;832.0;794.0;38.0;177.0
2016-11-15;ARS Centro;24641.0;13711.0;10930.0;5993.0
2016-11-22;ARS Lisboa e Vale do Tejo;32425.0;13236.0;19189.0;5297.0
2016-11-23;ARS Alentejo;8229.0;4550.0;3679.0;1976.0
2016-11-24;ARS Norte;50207.0;24415.0;25792.0;8401.0
2016-11-24;ARS Centro;22754.0;11916.0;10838.0;4933.0
2016-11-24;ARS Alentejo;7813.0;4227.0;3586.0;1803.0
2016-11-25;ARS Algarve;3753.0;1954.0;1799.0;782.0
2016-11-26;ARS Centro;2031.0;1927.0;104.0;554.0
2016-11-26;ARS Alentejo;1011.0;914.0;97.0;271.0
2016-11-28;ARS Lisboa e Vale do Tejo;35192.0;15231.0;19961.0;5643.0
2016-11-29;ARS Norte;57978.0;30329.0;27649.0;11063.0
2016-11-29;ARS Lisboa e Vale do Tejo;33034.0;13552.0;19482.0;5227.0
2016-11-29;ARS Algarve;4724.0;2398.0;2326.0;1052.0
2016-11-30;ARS Norte;53377.0;27643.0;25734.0;10270.0
2016-11-30;ARS Lisboa e Vale do Tejo;30081.0;12138.0;17943.0;4570.0
2016-11-30;ARS Algarve;4469.0;2339.0;2130.0;1005.0
2016-12-01;ARS Algarve;337.0;325.0;12.0;72.0
2016-12-02;ARS Norte;43643.0;26107.0;17536.0;9109.0
